DATE,A,C
13/09/2013,-0.0027,0.0014
12/09/2013,-0.001,-0.0023
11/09/2013,0.0007,0.0133
10/09/2013,0.0037,0.0051
09/09/2013,0.0001,0.0116
06/09/2013,0.0013,0.0121
05/09/2013,0.0038,0.0078
04/09/2013,0.0011,-0.0135
03/09/2013,0.003,-0.0028
02/09/2013,0.0075,0.0184
30/08/2013,-0.0014,-0.0132
29/08/2013,0.005,0.0097
28/08/2013,0.0004,0.0098
27/08/2013,-0.0043,-0.0234
26/08/2013,-0.0023,-0.021
23/08/2013,0.0009,0.0019
22/08/2013,0.0015,0.0256
21/08/2013,0.0038,-0.0072
20/08/2013,-0.003,-0.0141
19/08/2013,-0.0009,-0.0246
16/08/2013,-0.0064,0.0123
14/08/2013,0.0019,0.0048
13/08/2013,0.0041,0.0068
12/08/2013,0.0015,0.0044
09/08/2013,0.0006,0.0023
08/08/2013,0.0015,0.0183
07/08/2013,-0.0025,0.0093
06/08/2013,0.0006,-0.0044
05/08/2013,0.0005,-0.0013
02/08/2013,0.0009,-0.0024
01/08/2013,0.0049,0.0204
31/07/2013,-0.0017,-0.0037
30/07/2013,0.0025,0.0164
29/07/2013,0.0034,-0.0089
26/07/2013,0.0026,-0.0006
25/07/2013,0,-0.0007
24/07/2013,0.0022,0.0126
23/07/2013,0.0022,0.0003
22/07/2013,0.0016,0.0068
19/07/2013,-0.0043,0.0044
18/07/2013,-0.0023,0.0228
17/07/2013,0.0028,0.0106
16/07/2013,0.0003,-0.0043
15/07/2013,0.0033,0.0108
12/07/2013,0.0016,-0.0157
11/07/2013,0.0145,0
10/07/2013,-0.005,-0.0072
09/07/2013,0.0042,-0.0006
08/07/2013,0.0058,0.0171
05/07/2013,-0.0012,-0.0174
04/07/2013,0.0063,0.0344
03/07/2013,-0.0111,-0.0054
02/07/2013,0.0026,-0.0061
01/07/2013,0.0079,0.0145
28/06/2013,0.0043,-0.0124
27/06/2013,0.0024,0.0044
26/06/2013,0.0018,0.0203
25/06/2013,0.0108,-0.0037
24/06/2013,-0.008,-0.0093
21/06/2013,-0.0006,-0.0189
20/06/2013,-0.0146,-0.0309
19/06/2013,0.0038,-0.0094
18/06/2013,-0.0033,0.0002
17/06/2013,-0.0001,0.0026
14/06/2013,0.004,0.0023
13/06/2013,-0.0148,0.0058
12/06/2013,-0.0021,-0.0161
11/06/2013,-0.003,-0.0163
10/06/2013,-0.0007,-0.0081
07/06/2013,0.0039,0.01
06/06/2013,0.0008,-0.0263
05/06/2013,-0.0067,-0.0096
04/06/2013,0.0079,0.0045
03/06/2013,-0.0068,-0.0091
31/05/2013,0.0031,-0.0079
30/05/2013,-0.0023,0.0066
29/05/2013,-0.0089,-0.0161
28/05/2013,0.0065,0.021
27/05/2013,0.0067,0.0155
24/05/2013,0.0074,-0.0066
23/05/2013,-0.0238,-0.0306
22/05/2013,0.0026,0.0068
21/05/2013,-0.0006,-0.0045
20/05/2013,-0.0082,-0.0056
17/05/2013,-0.0052,0.0035
16/05/2013,-0.0015,0.0029
15/05/2013,-0.0025,0.0103
14/05/2013,0.0064,0.0084
13/05/2013,0.0011,-0.0065
10/05/2013,0.004,0.0113
09/05/2013,-0.0038,-0.0096
08/05/2013,0.001,0.0078
07/05/2013,0.0038,0.0154
06/05/2013,-0.0005,-0.0035
03/05/2013,0.0038,0.0104
02/05/2013,-0.0048,-0.0012
30/04/2013,0.0061,-0.0096
29/04/2013,0.006,0.022
26/04/2013,-0.0018,-0.0051
25/04/2013,-0.0008,0.0052
24/04/2013,0.0002,0.0044
23/04/2013,0.0007,0.0293
22/04/2013,0.0136,0.0166
19/04/2013,0.0111,0.0181
18/04/2013,0.006,0.0063
17/04/2013,0.0071,-0.0096
16/04/2013,-0.005,-0.0061
15/04/2013,-0.001,-0.0096
12/04/2013,-0.0042,-0.015
11/04/2013,-0.0014,0.0058
10/04/2013,0.002,0.0319
09/04/2013,0.0073,0.0126
08/04/2013,0.0038,-0.0005
05/04/2013,0.0033,0.0064
04/04/2013,0.0058,-0.003
03/04/2013,-0.0045,-0.0228
02/04/2013,-0.002,0.0141
28/03/2013,-0.003,-0.001
27/03/2013,0.0001,-0.0092
26/03/2013,0.0053,-0.0095
25/03/2013,0.0104,-0.025
22/03/2013,-0.0028,0.0069
21/03/2013,-0.0019,-0.005
20/03/2013,0.0082,0.022
19/03/2013,-0.0002,-0.0159
18/03/2013,-0.0275,-0.0085
15/03/2013,0.0028,-0.0043
14/03/2013,0.0098,0.0245
13/03/2013,-0.0018,-0.0174
12/03/2013,-0.0015,-0.0042
11/03/2013,-0.0101,-0.0069
08/03/2013,0.0052,0.0161
07/03/2013,0.0041,0.003
06/03/2013,0.0004,-0.0047
05/03/2013,0.0078,0.0278
04/03/2013,-0.0085,-0.0085
01/03/2013,-0.004,-0.0154
28/02/2013,0.0049,0.006
27/02/2013,0.0068,0.0177
26/02/2013,-0.0157,-0.0489
25/02/2013,0.0056,0.0073
22/02/2013,0.0029,0.014
21/02/2013,-0.0091,-0.0313
20/02/2013,-0.0017,-0.0082
19/02/2013,-0.0024,0.0157
18/02/2013,-0.0034,-0.0051
15/02/2013,-0.0006,-0.0033
14/02/2013,-0.0023,-0.01
13/02/2013,0.0034,0.0041
12/02/2013,-0.0034,0.0069
11/02/2013,-0.0015,-0.0061
08/02/2013,0.0009,0.014
07/02/2013,0.002,-0.0122
06/02/2013,-0.0003,-0.0065
05/02/2013,-0.0033,0.0105
04/02/2013,-0.002,-0.045
01/02/2013,-0.0016,-0.0069
31/01/2013,0.0024,0.0086
30/01/2013,0.0043,-0.0336
29/01/2013,-0.0006,-0.0003
28/01/2013,0.0042,0.0096
25/01/2013,-0.0012,-0.0017
24/01/2013,-0.0028,0.0101
23/01/2013,0.0019,-0.0077
22/01/2013,0,0.0048
21/01/2013,0.0023,0.0044
18/01/2013,0.0062,-0.0019
17/01/2013,0.0002,0.0143
16/01/2013,-0.0022,-0.0073
15/01/2013,-0.0034,0.0044
14/01/2013,0.0042,-0.0064
11/01/2013,0.0045,0.0029
10/01/2013,0.0042,0.0072
09/01/2013,0.0052,0.0221
08/01/2013,-0.0027,0.0033
07/01/2013,0.002,-0.0038
04/01/2013,-0.0007,0.003
03/01/2013,-0.0016,0.001
